WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,T_AVG,IS_RAINIY,IS_FROST
10.54,0.0,0.023880597014925373,0.0,0.724907063197026,0.0,0.6338983050847458,0.5463576158940396,0.6417112299465242,1.0,0.0
13.29,0.0,0.0,0.0,0.6914498141263941,0.0,0.7830508474576271,0.8576158940397349,0.35828877005347604,0.0,0.0
14.21,0.0,0.0,0.0,0.8364312267657993,0.0,0.7830508474576271,0.7880794701986754,0.5668449197860964,0.0,0.0
14.88,0.0,0.0,0.0,0.858736059479554,0.0,0.7796610169491526,0.6986754966887416,0.6042780748663104,0.0,0.0
11.87,0.0,0.0417910447761194,0.0,0.8066914498141265,0.0,0.8,0.8543046357615893,0.4973262032085563,1.0,0.0
8.38,0.0,0.0,0.0,0.5687732342007435,0.0,0.7830508474576271,0.8576158940397349,0.18181818181818185,0.0,0.0
10.54,0.0,0.0,0.0,0.6245353159851301,0.0,0.5966101694915255,0.5927152317880794,0.556149732620321,0.0,0.0
8.79,0.0,0.0,0.0,0.7286245353159851,0.0,0.6644067796610169,0.5562913907284768,0.5989304812834226,0.0,0.0
8.33,0.0,0.0,0.0,0.8289962825278812,0.0,0.7661016949152543,0.7582781456953641,0.5828877005347595,0.0,0.0
4.92,0.0,0.0,0.0,0.8736059479553904,0.0,0.7830508474576271,0.7748344370860927,0.6203208556149734,0.0,0.0
6.71,0.0,0.0,0.0,0.724907063197026,0.0,0.9152542372881356,0.9536423841059601,0.19786096256684493,0.0,0.0
5.83,0.0,0.0,0.0,0.75092936802974,0.0,0.8,0.8576158940397349,0.41711229946524087,0.0,0.0
15.75,0.0,0.008955223880597014,0.0,0.6840148698884759,0.0,0.711864406779661,0.7152317880794701,0.4598930481283424,1.0,0.0
14.92,0.0,0.0,0.0,0.6802973977695167,0.0,0.7491525423728813,0.8013245033112582,0.3957219251336899,0.0,0.0
10.08,0.0,0.0,0.0,0.7472118959107807,0.0,0.6305084745762712,0.6258278145695364,0.6791443850267381,0.0,0.0
7.08,0.0,0.0014925373134328358,0.0,0.754646840148699,0.0,0.6610169491525424,0.6225165562913907,0.6417112299465242,1.0,0.0
14.54,0.0,0.0029850746268656717,0.0,0.7918215613382901,0.0,0.8508474576271187,0.8807947019867548,0.3957219251336899,1.0,0.0
14.04,0.0,0.0,0.0,0.6840148698884759,0.0,0.8779661016949153,0.9304635761589403,0.19786096256684502,0.0,0.0
9.46,0.0,0.0955223880597015,0.0,0.6877323420074349,0.0,0.8067796610169492,0.8476821192052979,0.31550802139037426,1.0,0.0
2.67,0.0,0.09850746268656715,0.0,0.6468401486988848,0.0,0.8033898305084746,0.8642384105960264,0.2620320855614975,1.0,0.0
7.41,0.0,0.08059701492537313,0.0,0.6505576208178439,0.0,0.8237288135593221,0.9006622516556291,0.2352941176470588,1.0,0.0
9.08,0.0,0.005970149253731343,0.0,0.7100371747211897,0.0,0.840677966101695,0.8112582781456952,0.29411764705882354,1.0,0.0
16.83,0.0,0.31940298507462683,0.0,0.5167286245353161,0.0,0.6949152542372882,0.7549668874172184,0.24598930481283435,1.0,0.0
11.83,0.0,0.0014925373134328358,0.0,0.6505576208178439,0.0,0.6711864406779662,0.7615894039735098,0.47593582887700536,1.0,0.0
10.25,0.0,0.03880597014925373,0.0,0.7026022304832714,0.0,0.6474576271186441,0.6688741721854303,0.5882352941176473,1.0,0.0
13.13,0.0,0.0014925373134328358,0.0,0.5836431226765799,0.0,0.7627118644067796,0.8112582781456952,0.2352941176470589,1.0,0.0
7.08,0.0,0.0,0.0,0.7360594795539034,0.0,0.7457627118644068,0.7682119205298013,0.48128342245989314,0.0,0.0
4.96,0.0,0.0,0.0,0.721189591078067,0.0,0.7457627118644068,0.7019867549668873,0.4598930481283424,0.0,0.0
